"(PDH-TSV 4.0) (Iran Standard Time)(-210)"	"\\SALAVATI-ADBF30\Memory\Cache Bytes"	"\\SALAVATI-ADBF30\Memory\Pool Paged Allocs"	"\\SALAVATI-ADBF30\Memory\System Driver Total Bytes"	"\\SALAVATI-ADBF30\System\Context Switches/sec"	"\\SALAVATI-ADBF30\Thread(_Total/_Total)\Context Switches/sec"
"12/11/2009 13:38:38.369"	"71786496"	"75650"	"3018752"	"4955.0289142205584"	"4954.039491514045"
"12/11/2009 13:38:39.369"	"71278592"	"75640"	"3018752"	"5037.2493014008523"	"4943.1423940022423"
"12/11/2009 13:38:40.369"	"71307264"	"75668"	"3018752"	"4903.9683204271778"	"4903.9683204271778"
"12/11/2009 13:38:41.369"	"71262208"	"75540"	"3018752"	"4476.2164178833582"	"4479.2058767554972"
"12/11/2009 13:38:42.369"	"71274496"	"75585"	"3018752"	"4967.6538196143219"	"4964.641903393861"
"12/11/2009 13:38:43.369"	"71254016"	"75590"	"3018752"	"4982.8833635833589"	"4982.8833635833589"
"12/11/2009 13:38:44.369"	"71266304"	"75599"	"3018752"	"4796.8694229021985"	"4798.8760614392841"
"12/11/2009 13:38:45.369"	"71274496"	"75518"	"3018752"	"4467.1505422052678"	"4464.1591467528979"
"12/11/2009 13:38:46.369"	"71286784"	"75545"	"3018752"	"4883.6752131599997"	"4884.6861167437628"
"12/11/2009 13:38:47.369"	"71319552"	"75661"	"3018752"	"4928.66154220933"	"4927.6618137017822"
"12/11/2009 13:38:48.369"	"71266304"	"75555"	"3018752"	"4892.3915146334712"	"4895.3985161790351"
"12/11/2009 13:38:49.369"	"71299072"	"75477"	"3018752"	"4499.8975813073102"	"4494.9504643533664"
"12/11/2009 13:38:50.369"	"71294976"	"75509"	"3018752"	"4860.4518019335537"	"4863.4845297633792"
"12/11/2009 13:38:51.369"	"71299072"	"75532"	"3018752"	"5000.113856491349"	"4997.1557926835258"
"12/11/2009 13:38:52.369"	"71327744"	"75616"	"3018752"	"4783.6310942316577"	"4783.6310942316577"
"12/11/2009 13:38:53.369"	"71311360"	"75406"	"3018752"	"4281.6691546138218"	"4282.6655868117768"
"12/11/2009 13:38:54.369"	"71303168"	"75452"	"3018752"	"4909.0556234437736"	"4909.0556234437736"
"12/11/2009 13:38:55.369"	"71303168"	"75516"	"3018752"	"4971.8546216571431"	"4972.8618855594241"
"12/11/2009 13:38:56.369"	"71331840"	"75582"	"3018752"	"4860.0338557617588"	"4860.0338557617588"
"12/11/2009 13:38:57.369"	"71307264"	"75372"	"3018752"	"4272.2941228317477"	"4272.2941228317477"
"12/11/2009 13:38:58.369"	"71307264"	"75402"	"3018752"	"4691.9003166481425"	"4691.9003166481425"
"12/11/2009 13:38:59.369"	"71311360"	"75500"	"3018752"	"5006.0094346337155"	"4999.0052239516381"
"12/11/2009 13:39:00.369"	"71319552"	"75559"	"3018752"	"4931.1363830269374"	"4931.1363830269374"
"12/11/2009 13:39:01.369"	"71315456"	"75396"	"3018752"	"4522.4717918488341"	" "
"12/11/2009 13:39:02.369"	"71323648"	"75509"	"3018752"	"4634.1725581182836"	"4631.1898252982119"
"12/11/2009 13:39:03.369"	"71278592"	"75397"	"3018752"	"4586.1522447307125"	"4586.1522447307125"
"12/11/2009 13:39:04.369"	"71274496"	"75284"	"3018752"	"4728.0109454065869"	"4727.0176657962074"
"12/11/2009 13:39:05.369"	"71299072"	"75408"	"3018752"	"3918.3768153058641"	"3921.3986997392622"
"12/11/2009 13:39:06.369"	"71278592"	"75246"	"3018752"	"4564.4203160329653"	"4564.4203160329653"
"12/11/2009 13:39:07.369"	"71335936"	"75402"	"3018752"	"4545.1177644405798"	"4542.132138582615"
"12/11/2009 13:39:08.369"	"71278592"	"75392"	"3018752"	"4679.9644976482105"	"4679.9644976482105"
"12/11/2009 13:39:09.369"	"71352320"	"75410"	"3018752"	"4110.5239531600901"	"4127.3988401931065"
"12/11/2009 13:39:10.369"	"71299072"	"75387"	"3018752"	"4588.4933322607076"	"4573.6085139250863"
"12/11/2009 13:39:11.369"	"71282688"	"75381"	"3018752"	"4622.4953865103298"	"4619.4695331043658"
"12/11/2009 13:39:12.369"	"71278592"	"75203"	"3018752"	"4810.3510919290238"	"4810.3510919290238"
"12/11/2009 13:39:13.369"	"71274496"	"75275"	"3018752"	"4303.0140030167331"	"4306.0379060406376"
"12/11/2009 13:39:14.369"	"71323648"	"75445"	"3018752"	"4777.3898750239514"	"4773.4244134136388"
"12/11/2009 13:39:15.369"	"71307264"	"75391"	"3018752"	"4832.3064012755922"	"4831.2954585138195"
"12/11/2009 13:39:16.369"	"71294976"	"75219"	"3018752"	"4826.683342837121"	"4826.683342837121"
"12/11/2009 13:39:17.369"	"71294976"	"75295"	"3018752"	"4441.117937477673"	"4444.1418489194421"
"12/11/2009 13:39:18.369"	"71335936"	"75463"	"3018752"	"4586.0259415544351"	"4586.0259415544351"
"12/11/2009 13:39:19.369"	"71344128"	"75465"	"3018752"	"4904.0224023818719"	"4899.0366130341881"
"12/11/2009 13:39:20.369"	"71315456"	"75301"	"3018752"	"4773.6713933719102"	"4776.7042214490211"
"12/11/2009 13:39:21.369"	"71315456"	"75400"	"3018752"	"4413.2401434686499"	"4413.2401434686499"
"12/11/2009 13:39:22.369"	"71368704"	"75505"	"3018752"	"4624.4889486401717"	"4623.480995512743"
"12/11/2009 13:39:23.369"	"71348224"	"75497"	"3018752"	"4746.1195238993323"	"4744.1232591153585"
"12/11/2009 13:39:24.369"	"71335936"	"75333"	"3018752"	"4707.0090529212557"	"4705.0166681369501"
"12/11/2009 13:39:25.369"	"71348224"	"75428"	"3018752"	"4404.799939081593"	"4404.799939081593"
"12/11/2009 13:39:26.369"	"71397376"	"75446"	"3018752"	"4719.132748364972"	"4719.132748364972"
"12/11/2009 13:39:27.369"	"71380992"	"75504"	"3018752"	"4675.514978642088"	"4675.514978642088"
"12/11/2009 13:39:28.369"	"71340032"	"75350"	"3018752"	"4831.6459826544042"	"4796.9714677081447"
"12/11/2009 13:39:29.369"	"71376896"	"75452"	"3018752"	"4399.6321612771553"	"4401.6206955873367"
"12/11/2009 13:39:30.369"	"71368704"	"75330"	"3018752"	"4659.1668496561488"	"4656.1407616394854"
"12/11/2009 13:39:31.369"	"71352320"	"75419"	"3018752"	"4836.8137052506245"	"4836.8137052506245"
"12/11/2009 13:39:32.369"	"71356416"	"75367"	"3018752"	"4648.6192887428015"	"4651.6372194647729"
"12/11/2009 13:39:33.369"	"71385088"	"75473"	"3018752"	"4353.1308542303541"	"4353.1308542303541"
"12/11/2009 13:39:34.369"	"71393280"	"75341"	"3018752"	"4587.2221820031527"	"4611.413202079636"
"12/11/2009 13:39:35.369"	"71372800"	"75409"	"3018752"	"4780.3874250895615"	"4751.2998809587189"
"12/11/2009 13:39:36.369"	"71380992"	"75391"	"3018752"	"4840.6810556077235"	"4840.6810556077235"
"12/11/2009 13:39:37.369"	"71413760"	"75491"	"3018752"	"4453.2403857690697"	"4456.2732396072779"
"12/11/2009 13:39:38.369"	"71405568"	"75361"	"3018752"	"4560.2043018425502"	"4559.2110096835777"
"12/11/2009 13:39:39.369"	"71385088"	"75423"	"3018752"	"4686.9942356962429"	"4683.9703684474071"
"12/11/2009 13:39:40.369"	"71389184"	"75403"	"3018752"	"4836.3256024022512"	"4836.3256024022512"
"12/11/2009 13:39:41.369"	"71434240"	"75515"	"3018752"	"4465.3014086698613"	"4439.094222072702"
"12/11/2009 13:39:42.369"	"71430144"	"75384"	"3018752"	"4560.8404049735391"	"4560.8404049735391"
"12/11/2009 13:39:43.369"	"71413760"	"75451"	"3018752"	"4610.3750967446877"	"4609.3730591231397"
"12/11/2009 13:39:44.369"	"71409664"	"75423"	"3018752"	"4790.7563972750077"	"4790.7563972750077"
"12/11/2009 13:39:45.369"	"71397376"	"75418"	"3018752"	"4537.4128267890737"	"4537.4128267890737"
"12/11/2009 13:39:46.369"	"71393280"	"75285"	"3018752"	"4714.5522671377457"	"4711.5752819132849"
